YMDHMS,Load
2011-01-01 00:15:00,0.23266879999999998
2011-01-01 00:30:00,0.2349638
2011-01-01 00:45:00,0.2355894
2011-01-01 01:00:00,0.2321316
2011-01-01 01:15:00,0.22471960000000002
2011-01-01 01:30:00,0.220201
2011-01-01 01:45:00,0.22423
2011-01-01 02:00:00,0.22191460000000002
2011-01-01 02:15:00,0.22267279999999998
2011-01-01 02:30:00,0.2233256
2011-01-01 02:45:00,0.2283644
2011-01-01 03:00:00,0.23127479999999997
2011-01-01 03:15:00,0.2207654
2011-01-01 03:30:00,0.2260456
2011-01-01 03:45:00,0.22630060000000002
2011-01-01 04:00:00,0.22180239999999998
2011-01-01 04:15:00,0.218467
2011-01-01 04:30:00,0.219895
2011-01-01 04:45:00,0.222292
2011-01-01 05:00:00,0.2198678
2011-01-01 05:15:00,0.2178652
2011-01-01 05:30:00,0.2206668
2011-01-01 05:45:00,0.22705879999999998
2011-01-01 06:00:00,0.232373
2011-01-01 06:15:00,0.2289254
2011-01-01 06:30:00,0.2282352
2011-01-01 06:45:00,0.240873
2011-01-01 07:00:00,0.2430082
2011-01-01 07:15:00,0.2384726
2011-01-01 07:30:00,0.232322
2011-01-01 07:45:00,0.24399420000000002
2011-01-01 08:00:00,0.2407098
2011-01-01 08:15:00,0.24096820000000002
2011-01-01 08:30:00,0.24722760000000002
2011-01-01 08:45:00,0.2477444
2011-01-01 09:00:00,0.2536264
2011-01-01 09:15:00,0.2493118
2011-01-01 09:30:00,0.250155
2011-01-01 09:45:00,0.2515966
2011-01-01 10:00:00,0.25160679999999996
2011-01-01 10:15:00,0.2535516
2011-01-01 10:30:00,0.247452
2011-01-01 10:45:00,0.2477274
2011-01-01 11:00:00,0.2513382
2011-01-01 11:15:00,0.24178760000000002
2011-01-01 11:30:00,0.24443620000000002
2011-01-01 11:45:00,0.2470814
2011-01-01 12:00:00,0.250002
2011-01-01 12:15:00,0.249917
2011-01-01 12:30:00,0.2483836
2011-01-01 12:45:00,0.2548198
2011-01-01 13:00:00,0.2511138
2011-01-01 13:15:00,0.24470820000000001
2011-01-01 13:30:00,0.2395912
2011-01-01 13:45:00,0.2449802
2011-01-01 14:00:00,0.2462586
2011-01-01 14:15:00,0.24658839999999999
2011-01-01 14:30:00,0.2464524
